	Title	Year	Genre	Star Rating	Rank	Runtime	Rating
0	The Wizard of Oz	1939	Adventure,Family,Fantasy	8.1	1	102 min	PG
1	The Third Man	1949	Film-Noir,Mystery,Thriller	8.1	2	93 min	Approved
2	Citizen Kane	1941	Drama,Mystery	8.3	3	119 min	PG
3	Modern Times	1936	Comedy,Drama,Romance	8.5	4	87 min	G
4	All About Eve	1950	Drama	8.2	5	138 min	Passed
5	The Cabinet of Dr. Caligari	1920	Horror,Mystery,Thriller	8	6	67 min	Not Rated
6	The Godfather	1972	Crime,Drama	9.2	7	175 min	R
7	E.T. the Extra-Terrestrial	1982	Adventure,Family,Sci-Fi	7.9	8	115 min	PG
8	Metropolis	1927	Drama,Sci-Fi	8.3	9	153 min	Not Rated
9	It Happened One Night	1934	Comedy,Romance	8.1	10	105 min	Passed
10	Singin' in the Rain	1952	Comedy,Musical,Romance	8.3	11	103 min	G
11	Inside Out	I 2015	Animation,Adventure,Comedy	8.2	12	95 min	PG
12	Laura	1944	Drama,Film-Noir,Mystery	7.9	13	88 min	Passed
13	The Adventures of Robin Hood	1938	Action,Adventure,Romance	7.9	14	102 min	PG
14	A Hard Day's Night	1964	Comedy,Musical	7.5	15	87 min	G
15	Snow White and the Seven Dwarfs	1937	Animation,Adventure,Family	7.6	16	83 min	Approved
16	Repulsion	1965	Drama,Horror,Thriller	7.6	17	105 min	Not Rated
17	Boyhood	I 2014	Drama	7.9	18	165 min	R
18	North by Northwest	1959	Action,Adventure,Mystery	8.3	19	136 min	Approved
19	King Kong	1933	Adventure,Horror,Sci-Fi	7.9	20	100 min	Passed
20	The Maltese Falcon	1941	Crime,Film-Noir,Mystery	8	21	100 min	Passed
21	The Battle of Algiers	1966	Drama,War	8.1	22	121 min	Not Rated
22	Rear Window	1954	Mystery,Thriller	8.5	23	112 min	PG
23	The Philadelphia Story	1940	Comedy,Romance	7.9	24	112 min	Not Rated
24	Toy Story 2	1999	Animation,Adventure,Comedy	7.9	25	92 min	G
25	Rashomon	1950	Crime,Drama,Mystery	8.2	26	88 min	Not Rated
26	Sunset Blvd.	1950	Drama,Film-Noir	8.4	27	110 min	Passed
27	Toy Story 3	2010	Animation,Adventure,Comedy	8.3	28	103 min	G
28	The Bride of Frankenstein	1935	Drama,Horror,Sci-Fi	7.8	29	75 min	Not Rated
29	The 400 Blows	1959	Crime,Drama	8.1	30	99 min	Not Rated
30	M	1931	Crime,Mystery,Thriller	8.3	31	99 min	Passed
31	Bicycle Thieves	1948	Drama	8.3	32	89 min	Not Rated
32	Up	2009	Animation,Adventure,Comedy	8.3	33	96 min	PG
33	The Treasure of the Sierra Madre	1948	Adventure,Drama,Western	8.2	34	126 min	Passed
34	Seven Samurai	1954	Action,Drama	8.6	35	207 min	Not Rated
35	Selma	2014	Biography,Drama,History	7.5	36	128 min	PG-13
36	Taxi Driver	1976	Crime,Drama	8.2	37	114 min	R
37	The Night of the Hunter	1955	Crime,Drama,Film-Noir	8	38	92 min	Not Rated
38	12 Angry Men	1957	Crime,Drama	9	39	96 min	Approved
39	Rebecca	1940	Drama,Film-Noir,Mystery	8.1	40	130 min	Approved
40	The Conformist	1970	Drama	7.9	41	113 min	R
41	Frankenstein	1931	Drama,Horror,Sci-Fi	7.8	42	70 min	Passed
42	A Streetcar Named Desire	1951	Drama	7.9	43	122 min	PG
43	Finding Nemo	2003	Animation,Adventure,Comedy	8.2	44	100 min	G
44	Rosemary's Baby	1968	Drama,Horror	8	45	137 min	Approved
45	L.A. Confidential	1997	Crime,Drama,Mystery	8.2	46	138 min	R
46	The Wrestler	2008	Drama,Sport	7.9	47	109 min	R
47	Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb	1964	Comedy,War	8.4	48	95 min	PG
48	The 39 Steps	1935	Crime,Mystery,Thriller	7.6	49	86 min	Approved
49	The Hurt Locker	2008	Drama,Thriller,War	7.5	50	131 min	R
50	The Grapes of Wrath	1940	Drama	8.1	51	129 min	Passed
51	The Last Picture Show	1971	Drama,Romance	8	52	118 min	R
52	Tokyo Story	1953	Drama	8.2	53	136 min	Not Rated
53	Pinocchio	1940	Animation,Adventure,Comedy	7.5	54	88 min	G
54	The Wages of Fear	1953	Adventure,Drama,Thriller	8.2	55	131 min	Not Rated
55	Brooklyn	2015	Drama,Romance	7.5	56	117 min	PG-13
56	Toy Story	1995	Animation,Adventure,Comedy	8.3	57	81 min	G
57	Man on Wire	2008	Documentary,Biography,Crime	7.7	58	94 min	PG-13
58	Roman Holiday	1953	Comedy,Romance	8	59	118 min	Passed
59	Anatomy of a Murder	1959	Drama,Mystery	8	60	161 min	Not Rated
60	Annie Hall	1977	Comedy,Romance	8	61	93 min	PG
61	The Leopard	1963	Drama,History	8	62	186 min	PG
62	Chinatown	1974	Drama,Mystery,Thriller	8.2	63	130 min	R
63	The Best Years of Our Lives	1946	Drama,Romance,War	8.1	64	170 min	Approved
